epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,66.8097,14.46,9.88,42.7462,14.06,4.74,10.127854347229004,1.2956936359405518,11.696067810058594,9.955431938171387,36.90780258178711,69.98284912109375
2,43.8674,11.27,7.65,19.1948,10.23,5.07,6.526069641113281,1.1851134300231934,4.443371772766113,4.562820911407471,12.705007553100586,29.422382354736328
3,24.3634,29.03,31.7,12.9357,53.64,38.92,2.2386558055877686,0.7209761142730713,0.9840487241744995,3.7753214836120605,10.152938842773438,17.87194061279297
4,19.4064,50.4,35.41,11.401,53.55,38.85,4.809972763061523,0.6346607208251953,1.021144151687622,3.623424530029297,5.938714027404785,16.027915954589844
5,17.8979,45.66,33.9,9.2371,51.47,40.51,2.3583498001098633,0.5869818925857544,0.9464895725250244,3.2097268104553223,6.0611982345581055,13.16274642944336
6,15.832,48.02,37.98,8.3438,54.47,41.87,4.052631855010986,0.6309131979942322,0.9412968754768372,2.677457094192505,5.239292621612549,13.54159164428711
7,15.3061,47.19,33.62,6.4516,51.94,37.48,2.56583571434021,0.511182427406311,0.8244314193725586,2.4093713760375977,4.742537498474121,11.05335807800293
8,13.0956,41.11,32.71,4.9529,56.59,44.97,2.1997292041778564,0.6278167366981506,1.8951921463012695,2.8495607376098633,10.911171913146973,18.483470916748047
9,12.1372,48.37,37.72,4.8908,58.34,46.44,1.8838969469070435,0.5332492589950562,0.8595581650733948,2.3424391746520996,5.028954982757568,10.64809799194336
10,11.7115,46.44,36.78,4.8393,55.81,43.63,3.2016401290893555,0.5865837335586548,1.284951090812683,2.600616455078125,11.265880584716797,18.939672470092773
11,11.2874,44.92,35.12,4.2996,51.47,39.66,0.9755350947380066,0.4633491337299347,0.7826493978500366,2.250986099243164,4.594350337982178,9.066869735717773
12,11.6047,45.02,34.02,4.3434,50.97,37.73,1.5562959909439087,0.48622435331344604,0.679043710231781,2.160738706588745,3.575939655303955,8.458242416381836
